mag_ran;;ran_prob;F rand;mag_real;real_prob;F real;;mag_clast;clust_prob;F clust;;1-Fclust;;;mag_clast;;;
;;0.00E+00;2.06E-04;-2.2;0.00282;0.018627321;;-2.2;0.00282;0.018813391;2.85E-03;0.981186609;;;-2.2;0.01175;-0.079996969;1.079996969
;;0.00E+00;2.06E-04;-2.3;0.0023;0.016327321;;-2.3;0.0023;0.016490159;2.32E-03;0.983509841;;;-2.3;0.009583333;-0.089580302;1.089580303
-2.4;2.09E-04;2.09E-06;-2.81E-06;-2.4;0.00272;0.013607321;;-2.4;0.002717908;0.013744797;2.75E-03;0.986255203;;;-2.4;0.010670851;-0.100251153;1.100251153
;;;;-2.5;8.37E-04;0.012770501;;-2.5;0.00083682;0.012899524;8.45E-04;0.987100476;;;-2.5;0.00348675;-0.103737903;1.103737903
;;;;-2.6;0.00188;0.010890501;;-2.6;0.00188;0.011000534;1.90E-03;0.988999466;;;-2.6;0.007833333;-0.111571237;1.111571237
;;;;-2.7;0.00105;0.009840501;;-2.7;0.00105;0.009939928;1.06E-03;0.990060072;;;-2.7;0.004375;-0.115946237;1.115946237
;;;;-2.8;0.00167;0.008170501;;-2.8;0.00167;0.00825306;1.69E-03;0.99174694;;;-2.8;0.006958333;-0.12290457;1.12290457
;;;;-2.9;0.00188;0.006290501;;-2.9;0.00188;0.00635407;1.90E-03;0.99364593;;;-2.9;0.007833333;-0.130737903;1.130737903
;;;;-3;0.00146;0.004830501;;-3;0.00146;0.004879322;1.47E-03;0.995120678;;;-3;0.006083333;-0.136821237;1.136821237
;;;;-3.1;6.28E-04;0.004202886;;-3.1;0.000627615;0.004245368;6.34E-04;0.995754632;;;-3.1;0.002615063;-0.139436299;1.139436299
;;;;-3.2;8.37E-04;0.003366066;;-3.2;0.00083682;0.003400095;8.45E-04;0.996599905;;;-3.2;0.00348675;-0.142923049;1.142923049
;;;;-3.3;6.28E-04;0.002738451;;-3.3;0.000627615;0.00276614;6.34E-04;0.99723386;;;-3.3;0.002615063;-0.145538112;1.145538112
;;;;-3.4;4.18E-04;0.002320041;;-3.4;0.00041841;0.002343504;4.23E-04;0.997656496;;;-3.4;0.001743375;-0.147281487;1.147281487
;;;;-3.5;4.18E-04;0.001901631;;-3.5;0.00041841;0.001920868;4.23E-04;0.998079132;;;-3.5;0.001743375;-0.149024862;1.149024862
;;;;-3.6;2.09E-04;0.001692426;;-3.6;0.000209205;0.00170955;2.11E-04;0.99829045;;;-3.6;0.000871688;-0.149896549;1.149896549
;;;;-3.8;2.09E-04;0.001483221;;-3.8;0.000209205;0.001498231;2.11E-04;0.998501769;;;-3.8;0.000871688;-0.150768237;1.150768237
;;;;-3.9;6.28E-04;0.000855606;;-3.9;0.000627615;0.000864277;6.34E-04;0.999135723;;;-3.9;0.002615063;-0.153383299;1.153383299
;;;;-4.1;2.09E-04;0.000646401;;-4.1;0.000209205;0.000652959;2.11E-04;0.999347041;;;-4.1;0.000871688;-0.154254987;1.154254987
;;;;-4.2;2.09E-04;0.000437196;;-4.2;0.000209205;0.00044164;2.11E-04;0.99955836;;;-4.2;0.000871688;-0.155126674;1.155126674
;;;;-4.3;2.09E-04;0.000227991;;-4.3;0.000209205;0.000230322;2.11E-04;0.999769678;;;-4.3;0.000871688;-0.155998362;1.155998362
;;;;-6.6;2.09E-04;1.8786E-05;;-6.6;0.000209205;1.90041E-05;2.11E-04;0.999980996;;;-6.6;0.000871688;-0.156870049;1.156870049
