,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,latitude,longitude,depth,EH1,EH2,AZ,EV,mag,ID
139,1985,5,4,15,18,20.649,38.78383,-122.75665,1.444,0.009,0.008,158,0.011,2.1,47165
140,1985,5,10,23,2,45.017,38.80419,-122.77155,2.026,0.009,0.006,1,0.008,2.1,47614
141,1985,5,13,23,59,46.96,38.79543,-122.74869,1.724,0.007,0.004,35,0.008,2.1,47842
142,1985,5,15,6,54,6.39,38.78477,-122.75809,1.467,0.009,0.007,138,0.009,1.9,47905
143,1985,5,26,15,7,33.752,38.78827,-122.7742,2.164,0.006,0.005,23,0.008,2.5,48418
144,1985,5,26,15,17,47.375,38.78078,-122.76728,1.283,0.007,0.006,80,0.008,2.2,48420
145,1985,5,26,15,18,18.77,38.78159,-122.76648,1.155,0.007,0.005,175,0.007,1.8,48495
146,1985,5,28,18,18,23.48,38.79541,-122.75008,1.846,0.007,0.004,32,0.008,2.2,48592
147,1985,6,4,22,6,43.82,38.78453,-122.75816,1.458,0.011,0.007,162,0.01,1.6,48990
148,1985,6,5,5,34,25.28,38.78522,-122.75835,1.52,0.009,0.006,26,0.01,2.2,49003
149,1985,6,9,19,41,41.071,38.78478,-122.76973,0.618,0.008,0.006,102,0.016,1.8,49226
150,1985,6,10,20,11,58.52,38.78577,-122.77422,1.749,0.021,0.012,76,0.02,1.7,1128843
151,1985,6,19,16,27,18.165,38.7945,-122.74978,1.452,0.017,0.016,11,0.031,1.6,1129095
152,1985,6,20,20,17,28.0,38.78289,-122.77758,3.867,0.023,0.017,70,0.036,1.7,49897
153,1985,6,23,19,22,53.97,38.78216,-122.77442,1.739,0.018,0.013,3,0.025,2.0,1129183
154,1985,6,24,8,5,10.264,38.79351,-122.76491,1.352,0.008,0.006,5,0.01,2.0,50065
155,1985,6,28,22,36,57.68,38.8057,-122.77192,2.026,0.01,0.007,44,0.01,2.0,50386
156,1985,7,3,5,51,51.517,38.80185,-122.77379,1.956,0.01,0.009,65,0.019,1.8,50517
157,1985,7,10,14,56,5.261,38.80282,-122.77061,1.931,0.008,0.007,28,0.009,1.8,50860
158,1985,7,12,17,8,17.795,38.7817,-122.76109,0.952,0.011,0.008,12,0.016,1.7,51006
159,1985,7,12,20,36,17.731,38.79556,-122.75019,1.513,0.014,0.011,61,0.019,1.7,51013
160,1985,7,25,18,29,43.2,38.78211,-122.76934,1.214,0.021,0.015,6,0.028,1.7,1129989
161,1985,7,28,20,10,31.74,38.78305,-122.76724,0.544,0.007,0.006,10,0.011,1.9,51817
162,1985,8,7,14,13,5.596,38.80231,-122.77054,1.723,0.017,0.011,166,0.017,2.1,52329
163,1985,8,8,19,2,50.611,38.79044,-122.76573,1.737,0.034,0.018,97,0.077,3.2,1130334
164,1985,8,8,19,3,10.96,38.79049,-122.774,0.625,0.013,0.01,47,0.015,4.0,54159
165,1985,8,8,19,7,5.8,38.79139,-122.77438,0.608,0.013,0.01,82,0.015,2.1,54160
